id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
385,Update current device evidence with public pairing,DONE,Device evidence records same public server URL id deploy smoke and phone desktop persistence,jq -e '.checks.phoneDesktopPairingSaved.ok == true and .server.url == ""https://alex-coupons-herbs-folding.trycloudflare.com""' /tmp/tt-sync-device-evidence-current-audit.json,2026-05-13T00:17:25+08:00,0,"/tmp/tt-sync-device-evidence-current-audit.json now has publicEndpointPairingEvidence and matching phone/desktop server URL/id fields."
386,Rerun final evidence after public pairing,DONE,Final evidence passes deploy smoke public pairing and fails only the true UI diff conflict blockers,node tools/verify-incremental-cloud-sync-evidence.js --mobile-commands /tmp/tt-sync-command-report-mobile-build.json --desktop-commands /tmp/tt-sync-command-report-desktop-build.json --events /tmp/tt-sync-event-report-codex.json --deploy /tmp/tt-sync-public-deploy.json --smoke /tmp/tt-sync-public-smoke.json --device-evidence /tmp/tt-sync-device-evidence-current-audit.json --manifest /tmp/tt-sync-current-failed-final-evidence-report.json --json,2026-05-13T00:17:25+08:00,0,"Exit 1 expected; failed list is only pre-transfer diff summary visible in plugin UI and conflict resolution visible in plugin UI."
387,Document public endpoint pairing evidence,DONE,Plan records Cloudflare public deploy smoke Android and desktop pairing artifacts,node tools/test/docs-coverage-run-tests.js && git diff --check,2026-05-13T00:17:25+08:00,0,"docs/IncrementalCloudSyncPlan.md updated to replace the old public endpoint blocker with concrete Cloudflare deploy/smoke and Android/desktop persistence evidence."
388,Validate and commit public pairing phase,DONE,Docs checks full tests final evidence rerun and commit complete,git status --short,2026-05-13T00:17:25+08:00,0,"Completed by commit f86b564 docs(sync): 記錄 public endpoint pairing 證據."
389,Adapt plugin load path for Luker web runtime,DONE,Plugin can load in Luker without /tauri-bridge.js while still exposing explicit missing-backend errors,node --check index.js,2026-05-13T20:06:30+08:00,0,"Moved Tauri bridge and mobile runtime helper to on-demand imports; missing backend still surfaces as explicit command errors."
390,Mount plugin into Luker third-party extensions,DONE,Luker third-party directory points to this repo without copying large files,test -L /opt/Luker/public/scripts/extensions/third-party/ManualCloudSyncPluginPlan,2026-05-13T20:06:30+08:00,0,"Created symlink from Luker global third-party extensions to this repo."
391,Validate Luker UI load without real App/Docker,DONE,Low-traffic browser or HTTP check proves settings panel loads and missing backend is explicit,test -s /tmp/manual-cloud-sync-luker-evidence.json,2026-05-13T20:06:30+08:00,0,"Logged into Luker default-user via HTTP session; discover includes third-party/ManualCloudSyncPluginPlan and static resources return 200."
392,Run repo validation and commit Luker phase,DONE,Syntax tests pass and only relevant files are committed,git status --short,2026-05-13T20:06:30+08:00,0,"Completed by commit 1a8be9a fix(sync): support Luker web runtime loading and pushed to origin/main."
393,Document TT-Sync pairing usage,DONE,README explains server startup PM2 HTTPS pairing URI and plugin Push/Pull flow,rg -n "tauritavern://tt-sync/pair|PM2|TT_SYNC_PUBLIC_URL|SPKI" README.md,2026-05-13T20:43:26+08:00,0,"Added practical service and pairing URI instructions without running Docker or real App tests."
394,Validate and commit pairing usage docs,DONE,Docs checks pass and README taskmaster updates are committed,git status --short,2026-05-13T20:43:26+08:00,0,"Passed README rg check, docs coverage, npm run check, timeout 60s npm test, and git diff --check."
